Date,Year,Month,State,Sector,number_of_employees,average_weekly_hours,average_hourly_earnings
2008-01-01,2008,Jan,Hawaii,retailtrade,70.8,,
2008-01-01,2008,Jan,Hawaii,totalnonfarm,627.7,,
2008-01-01,2008,Jan,Hawaii,totalprivate,504.5,32.7,20.43
2008-01-01,2008,Jan,Idaho,leisurehospitality,64.1,,9.86
2008-01-01,2008,Jan,Idaho,manufacturing,65.6,36.4,22.48
2008-01-01,2008,Jan,Idaho,retailtrade,83.8,,
2008-01-01,2008,Jan,Idaho,totalnonfarm,653.4,,
2008-01-01,2008,Jan,Idaho,totalprivate,535.2,33.5,17.08
2008-01-01,2008,Jan,Illinois,leisurehospitality,534.5,,12.27
2008-01-01,2008,Jan,Illinois,manufacturing,672.3,40.2,21.65
2008-01-01,2008,Jan,Illinois,retailtrade,630.6,,
2008-01-01,2008,Jan,Illinois,totalnonfarm,5989.8,,
2008-01-01,2008,Jan,Illinois,totalprivate,5137.8,33.7,22.82
2008-01-01,2008,Jan,Indiana,leisurehospitality,284.2,,11.15
2008-01-01,2008,Jan,Indiana,manufacturing,542.4,41.2,22.25
2008-01-01,2008,Jan,Indiana,retailtrade,326.0,,
2008-01-01,2008,Jan,Indiana,totalnonfarm,2991.6,,
2008-01-01,2008,Jan,Indiana,totalprivate,2557.5,35.1,20.05
2008-01-01,2008,Jan,Iowa,leisurehospitality,136.6,,11.44
2008-01-01,2008,Jan,Iowa,manufacturing,231.0,40.5,17.15
2008-01-01,2008,Jan,Iowa,retailtrade,179.3,,
2008-01-01,2008,Jan,Iowa,totalnonfarm,1527.6,,
2008-01-01,2008,Jan,Iowa,totalprivate,1276.1,33.4,17.61
2008-01-01,2008,Jan,Kansas,leisurehospitality,116.2,,10.52
2008-01-01,2008,Jan,Kansas,manufacturing,187.7,42.2,23.05
2008-01-01,2008,Jan,Kansas,retailtrade,148.6,,
2008-01-01,2008,Jan,Kansas,totalnonfarm,1392.2,,
2008-01-01,2008,Jan,Kansas,totalprivate,1133.9,34.5,20.12
2008-01-01,2008,Jan,Kentucky,leisurehospitality,173.4,,10.11
2008-01-01,2008,Jan,Kentucky,manufacturing,252.8,39.7,18.74
2008-01-01,2008,Jan,Kentucky,retailtrade,212.9,,
2008-01-01,2008,Jan,Kentucky,totalnonfarm,1861.3,,
2008-01-01,2008,Jan,Kentucky,totalprivate,1548.8,36.4,17.75
2008-01-01,2008,Jan,Louisiana,leisurehospitality,196.0,,12.19
2008-01-01,2008,Jan,Louisiana,manufacturing,155.3,39.4,23.32
2008-01-01,2008,Jan,Louisiana,retailtrade,227.8,,
2008-01-01,2008,Jan,Louisiana,totalnonfarm,1934.1,,
2008-01-01,2008,Jan,Louisiana,totalprivate,1571.1,35.9,19.06
2008-01-01,2008,Jan,Maine,leisurehospitality,60.5,,12.14
2008-01-01,2008,Jan,Maine,manufacturing,59.7,41.1,21.81
2008-01-01,2008,Jan,Maine,retailtrade,86.8,,
2008-01-01,2008,Jan,Maine,totalnonfarm,620.7,,
2008-01-01,2008,Jan,Maine,totalprivate,516.6,34.0,18.79
2008-01-01,2008,Jan,Maryland,leisurehospitality,236.6,,17.29
2008-01-01,2008,Jan,Maryland,manufacturing,132.9,38.5,23.45
2008-01-01,2008,Jan,Maryland,retailtrade,300.0,,
2008-01-01,2008,Jan,Maryland,totalnonfarm,2635.9,,
2008-01-01,2008,Jan,Maryland,totalprivate,2149.5,34.8,24.56
2008-01-01,2008,Jan,Massachusetts,leisurehospitality,306.5,,15.32
2008-01-01,2008,Jan,Massachusetts,manufacturing,288.9,39.7,27.03
2008-01-01,2008,Jan,Massachusetts,retailtrade,351.5,,
2008-01-01,2008,Jan,Massachusetts,totalnonfarm,3325.9,,
2008-01-01,2008,Jan,Massachusetts,totalprivate,2890.6,33.5,26.18
2008-01-01,2008,Jan,Michigan,leisurehospitality,404.6,,11.56
2008-01-01,2008,Jan,Michigan,manufacturing,591.5,41.1,25.51
2008-01-01,2008,Jan,Michigan,retailtrade,488.8,,
2008-01-01,2008,Jan,Michigan,totalnonfarm,4240.7,,
2008-01-01,2008,Jan,Michigan,totalprivate,3591.5,34.3,21.92
2008-01-01,2008,Jan,Minnesota,leisurehospitality,248.2,,12.46
2008-01-01,2008,Jan,Minnesota,manufacturing,339.3,39.2,22.35
2008-01-01,2008,Jan,Minnesota,retailtrade,299.8,,
2008-01-01,2008,Jan,Minnesota,totalnonfarm,2772.7,,
2008-01-01,2008,Jan,Minnesota,totalprivate,2356.2,33.2,22.89
2008-01-01,2008,Jan,Mississippi,leisurehospitality,127.7,,10.79
2008-01-01,2008,Jan,Mississippi,manufacturing,165.7,40.5,16.42
2008-01-01,2008,Jan,Mississippi,retailtrade,141.7,,
2008-01-01,2008,Jan,Mississippi,totalnonfarm,1161.7,,
2008-01-01,2008,Jan,Mississippi,totalprivate,914.9,35.6,16.53
2008-01-01,2008,Jan,Missouri,leisurehospitality,282.6,,12.12
2008-01-01,2008,Jan,Missouri,manufacturing,298.9,39.0,22.23
2008-01-01,2008,Jan,Missouri,retailtrade,316.9,,
2008-01-01,2008,Jan,Missouri,totalnonfarm,2818.1,,
2008-01-01,2008,Jan,Missouri,totalprivate,2374.8,34.2,19.84
2008-01-01,2008,Jan,Montana,leisurehospitality,59.1,,11.46
2008-01-01,2008,Jan,Montana,manufacturing,20.5,,
2008-01-01,2008,Jan,Montana,retailtrade,59.7,,
2008-01-01,2008,Jan,Montana,totalnonfarm,447.1,,
2008-01-01,2008,Jan,Montana,totalprivate,359.8,31.8,18.2
2008-01-01,2008,Jan,Nebraska,leisurehospitality,83.2,,10.42
2008-01-01,2008,Jan,Nebraska,manufacturing,102.5,39.5,18.31
2008-01-01,2008,Jan,Nebraska,retailtrade,108.4,,
2008-01-01,2008,Jan,Nebraska,totalnonfarm,971.9,,
2008-01-01,2008,Jan,Nebraska,totalprivate,807.9,33.1,19.97
2008-01-01,2008,Jan,Nevada,leisurehospitality,341.2,,14.88
2008-01-01,2008,Jan,Nevada,manufacturing,49.5,,
2008-01-01,2008,Jan,Nevada,retailtrade,140.1,,
2008-01-01,2008,Jan,Nevada,totalnonfarm,1289.1,,
2008-01-01,2008,Jan,Nevada,totalprivate,1130.2,36.9,19.69
2008-01-01,2008,Jan,New Hampshire,leisurehospitality,64.4,,11.71
2008-01-01,2008,Jan,New Hampshire,manufacturing,77.4,40.8,24.35
2008-01-01,2008,Jan,New Hampshire,retailtrade,98.0,,
2008-01-01,2008,Jan,New Hampshire,totalnonfarm,649.9,,
2008-01-01,2008,Jan,New Hampshire,totalprivate,555.4,32.6,22.42
2008-01-01,2008,Jan,New Jersey,leisurehospitality,345.4,,16.69
2008-01-01,2008,Jan,New Jersey,manufacturing,303.7,38.6,23.74
2008-01-01,2008,Jan,New Jersey,retailtrade,465.4,,
2008-01-01,2008,Jan,New Jersey,totalnonfarm,4097.0,,
2008-01-01,2008,Jan,New Jersey,totalprivate,3437.0,33.3,25.58
2008-01-01,2008,Jan,New Mexico,leisurehospitality,87.7,,10.98
2008-01-01,2008,Jan,New Mexico,manufacturing,35.9,,
2008-01-01,2008,Jan,New Mexico,retailtrade,97.4,,
2008-01-01,2008,Jan,New Mexico,totalnonfarm,846.5,,
2008-01-01,2008,Jan,New Mexico,totalprivate,650.1,34.6,18.54
2008-01-01,2008,Jan,New York,leisurehospitality,716.8,,17.39
2008-01-01,2008,Jan,New York,manufacturing,542.7,38.4,22.85
2008-01-01,2008,Jan,New York,retailtrade,905.3,,
2008-01-01,2008,Jan,New York,totalnonfarm,8790.4,,
2008-01-01,2008,Jan,New York,totalprivate,7285.2,34.0,25.34
2008-01-01,2008,Jan,North Carolina,leisurehospitality,409.1,,11.58
2008-01-01,2008,Jan,North Carolina,manufacturing,530.3,39.8,18.74
2008-01-01,2008,Jan,North Carolina,retailtrade,470.5,,
2008-01-01,2008,Jan,North Carolina,totalnonfarm,4164.8,,
2008-01-01,2008,Jan,North Carolina,totalprivate,3458.6,33.8,19.5
2008-01-01,2008,Jan,North Dakota,leisurehospitality,33.5,,10.16
2008-01-01,2008,Jan,North Dakota,manufacturing,26.5,36.3,18.26
2008-01-01,2008,Jan,North Dakota,retailtrade,43.2,,
2008-01-01,2008,Jan,North Dakota,totalnonfarm,364.4,,
2008-01-01,2008,Jan,North Dakota,totalprivate,288.2,31.8,18.5
2008-01-01,2008,Jan,Ohio,leisurehospitality,499.1,,11.21
2008-01-01,2008,Jan,Ohio,manufacturing,761.4,39.4,21.84
2008-01-01,2008,Jan,Ohio,retailtrade,601.5,,
2008-01-01,2008,Jan,Ohio,totalnonfarm,5425.0,,
2008-01-01,2008,Jan,Ohio,totalprivate,4626.3,33.6,19.95
2008-01-01,2008,Jan,Oklahoma,leisurehospitality,143.5,,9.92
2008-01-01,2008,Jan,Oklahoma,manufacturing,157.9,41.6,18.39
2008-01-01,2008,Jan,Oklahoma,retailtrade,172.5,,
2008-01-01,2008,Jan,Oklahoma,totalnonfarm,1615.5,,
2008-01-01,2008,Jan,Oklahoma,totalprivate,1283.0,34.9,17.35
2008-01-01,2008,Jan,Oregon,leisurehospitality,175.0,,12.81
2008-01-01,2008,Jan,Oregon,manufacturing,201.9,38.7,20.21
2008-01-01,2008,Jan,Oregon,retailtrade,202.0,,
2008-01-01,2008,Jan,Oregon,totalnonfarm,1739.0,,
2008-01-01,2008,Jan,Oregon,totalprivate,1444.9,32.9,20.85
2008-01-01,2008,Jan,Pennsylvania,leisurehospitality,504.1,,12.67
2008-01-01,2008,Jan,Pennsylvania,manufacturing,655.3,40.1,20.88
2008-01-01,2008,Jan,Pennsylvania,retailtrade,652.8,,
2008-01-01,2008,Jan,Pennsylvania,totalnonfarm,5819.6,,
2008-01-01,2008,Jan,Pennsylvania,totalprivate,5063.8,33.6,20.31
2008-01-01,2008,Jan,Rhode Island,leisurehospitality,51.7,,14.97
2008-01-01,2008,Jan,Rhode Island,manufacturing,49.8,39.8,21.32
2008-01-01,2008,Jan,Rhode Island,retailtrade,50.7,,
2008-01-01,2008,Jan,Rhode Island,totalnonfarm,491.7,,
2008-01-01,2008,Jan,Rhode Island,totalprivate,423.8,33.7,22.75
2008-01-01,2008,Jan,South Carolina,leisurehospitality,220.0,,10.7
2008-01-01,2008,Jan,South Carolina,manufacturing,247.6,42.7,19.1
2008-01-01,2008,Jan,South Carolina,retailtrade,242.2,,
2008-01-01,2008,Jan,South Carolina,totalnonfarm,1955.9,,
2008-01-01,2008,Jan,South Carolina,totalprivate,1602.1,35.3,19.0
2008-01-01,2008,Jan,South Dakota,leisurehospitality,43.3,,11.16
2008-01-01,2008,Jan,South Dakota,manufacturing,42.5,38.7,16.68
2008-01-01,2008,Jan,South Dakota,retailtrade,50.4,,
2008-01-01,2008,Jan,South Dakota,totalnonfarm,410.7,,
2008-01-01,2008,Jan,South Dakota,totalprivate,335.0,32.4,16.31
2008-01-01,2008,Jan,Tennessee,leisurehospitality,277.4,,10.98
2008-01-01,2008,Jan,Tennessee,manufacturing,369.9,39.2,20.55
2008-01-01,2008,Jan,Tennessee,retailtrade,330.5,,
2008-01-01,2008,Jan,Tennessee,totalnonfarm,2812.6,,
2008-01-01,2008,Jan,Tennessee,totalprivate,2390.6,34.8,19.36
2008-01-01,2008,Jan,Texas,leisurehospitality,1001.7,,11.44
2008-01-01,2008,Jan,Texas,manufacturing,936.8,41.8,22.21
2008-01-01,2008,Jan,Texas,retailtrade,1171.4,,
2008-01-01,2008,Jan,Texas,totalnonfarm,10598.7,,
2008-01-01,2008,Jan,Texas,totalprivate,8805.2,36.0,20.98
2008-01-01,2008,Jan,Utah,leisurehospitality,115.6,,11.75
2008-01-01,2008,Jan,Utah,manufacturing,129.7,39.4,20.9
2008-01-01,2008,Jan,Utah,retailtrade,149.8,,
2008-01-01,2008,Jan,Utah,totalnonfarm,1259.6,,
2008-01-01,2008,Jan,Utah,totalprivate,1050.2,33.7,20.95
2008-01-01,2008,Jan,Vermont,leisurehospitality,32.7,,14.7
2008-01-01,2008,Jan,Vermont,manufacturing,35.6,38.3,20.81
2008-01-01,2008,Jan,Vermont,retailtrade,40.5,,
2008-01-01,2008,Jan,Vermont,totalnonfarm,309.0,,
2008-01-01,2008,Jan,Vermont,totalprivate,254.4,33.9,20.89
2008-01-01,2008,Jan,Virginia,leisurehospitality,353.3,,11.72
2008-01-01,2008,Jan,Virginia,manufacturing,271.8,37.8,19.79
2008-01-01,2008,Jan,Virginia,retailtrade,427.9,,
2008-01-01,2008,Jan,Virginia,totalnonfarm,3787.7,,
2008-01-01,2008,Jan,Virginia,totalprivate,3098.2,34.4,22.29
2008-01-01,2008,Jan,Washington,leisurehospitality,285.7,,15.72
2008-01-01,2008,Jan,Washington,manufacturing,297.0,,28.23
2008-01-01,2008,Jan,Washington,retailtrade,330.6,,
2008-01-01,2008,Jan,Washington,totalnonfarm,3004.5,,
2008-01-01,2008,Jan,Washington,totalprivate,2464.6,34.1,24.91
2008-01-01,2008,Jan,West Virginia,leisurehospitality,73.1,,9.63
2008-01-01,2008,Jan,West Virginia,manufacturing,58.0,41.2,21.56
2008-01-01,2008,Jan,West Virginia,retailtrade,91.5,,
2008-01-01,2008,Jan,West Virginia,totalnonfarm,728.0,,
2008-01-01,2008,Jan,West Virginia,totalprivate,582.5,35.1,17.51
2008-01-01,2008,Jan,Wisconsin,leisurehospitality,261.8,,11.65
2008-01-01,2008,Jan,Wisconsin,manufacturing,502.1,41.4,20.91
2008-01-01,2008,Jan,Wisconsin,retailtrade,312.2,,
2008-01-01,2008,Jan,Wisconsin,totalnonfarm,2882.4,,
2008-01-01,2008,Jan,Wisconsin,totalprivate,2461.7,32.9,20.65
2008-01-01,2008,Jan,Wyoming,leisurehospitality,34.4,,11.17
2008-01-01,2008,Jan,Wyoming,manufacturing,10.1,,
2008-01-01,2008,Jan,Wyoming,retailtrade,32.5,,
2008-01-01,2008,Jan,Wyoming,totalnonfarm,296.3,,
2008-01-01,2008,Jan,Wyoming,totalprivate,228.2,36.1,20.39
2008-02-01,2008,Feb,Alabama,leisurehospitality,174.4,,9.97
2008-02-01,2008,Feb,Alabama,manufacturing,291.5,41.6,20.49
2008-02-01,2008,Feb,Alabama,retailtrade,241.3,,
2008-02-01,2008,Feb,Alabama,totalnonfarm,2028.4,,
2008-02-01,2008,Feb,Alabama,totalprivate,1642.7,36.1,19.37
2008-02-01,2008,Feb,Alaska,leisurehospitality,32.0,,13.5
2008-02-01,2008,Feb,Alaska,manufacturing,13.4,51.9,18.07
2008-02-01,2008,Feb,Alaska,retailtrade,36.3,,
2008-02-01,2008,Feb,Alaska,totalnonfarm,320.7,,
2008-02-01,2008,Feb,Alaska,totalprivate,239.2,35.3,24.1
2008-02-01,2008,Feb,Arizona,leisurehospitality,275.1,,12.3
2008-02-01,2008,Feb,Arizona,manufacturing,178.4,38.0,22.49
2008-02-01,2008,Feb,Arizona,retailtrade,331.3,,
2008-02-01,2008,Feb,Arizona,totalnonfarm,2671.9,,
2008-02-01,2008,Feb,Arizona,totalprivate,2239.8,34.3,19.98
2008-02-01,2008,Feb,Arkansas,leisurehospitality,101.1,,9.43
2008-02-01,2008,Feb,Arkansas,manufacturing,186.9,38.3,17.13
2008-02-01,2008,Feb,Arkansas,retailtrade,135.2,,
2008-02-01,2008,Feb,Arkansas,totalnonfarm,1209.5,,
2008-02-01,2008,Feb,Arkansas,totalprivate,997.0,34.8,16.97
2008-02-01,2008,Feb,California,leisurehospitality,1580.3,,14.05
2008-02-01,2008,Feb,California,manufacturing,1446.0,38.6,24.8
2008-02-01,2008,Feb,California,retailtrade,1662.4,,
2008-02-01,2008,Feb,California,totalnonfarm,15443.8,,
2008-02-01,2008,Feb,California,totalprivate,12928.1,33.6,24.2
2008-02-01,2008,Feb,Colorado,leisurehospitality,274.5,,13.47
2008-02-01,2008,Feb,Colorado,manufacturing,145.3,37.8,27.42
2008-02-01,2008,Feb,Colorado,retailtrade,256.1,,
2008-02-01,2008,Feb,Colorado,totalnonfarm,2357.5,,
2008-02-01,2008,Feb,Colorado,totalprivate,1977.9,34.4,23.91
2008-02-01,2008,Feb,Connecticut,leisurehospitality,137.9,,15.48
2008-02-01,2008,Feb,Connecticut,manufacturing,186.1,40.5,28.76
2008-02-01,2008,Feb,Connecticut,retailtrade,191.8,,
2008-02-01,2008,Feb,Connecticut,totalnonfarm,1719.8,,
2008-02-01,2008,Feb,Connecticut,totalprivate,1460.5,33.9,27.44
2008-02-01,2008,Feb,DC,leisurehospitality,57.0,,17.83
2008-02-01,2008,Feb,DC,manufacturing,1.7,,
2008-02-01,2008,Feb,DC,retailtrade,18.4,,
2008-02-01,2008,Feb,DC,totalnonfarm,698.3,,
2008-02-01,2008,Feb,DC,totalprivate,464.3,35.4,33.24
2008-02-01,2008,Feb,Delaware,leisurehospitality,42.3,,12.2
2008-02-01,2008,Feb,Delaware,manufacturing,33.3,37.4,23.77
2008-02-01,2008,Feb,Delaware,retailtrade,54.3,,
2008-02-01,2008,Feb,Delaware,totalnonfarm,440.6,,
2008-02-01,2008,Feb,Delaware,totalprivate,378.8,34.0,23.13
2008-02-01,2008,Feb,Florida,leisurehospitality,987.3,,13.61
2008-02-01,2008,Feb,Florida,manufacturing,385.5,40.3,21.59
2008-02-01,2008,Feb,Florida,retailtrade,1012.3,,
2008-02-01,2008,Feb,Florida,totalnonfarm,7891.2,,
2008-02-01,2008,Feb,Florida,totalprivate,6758.3,35.2,20.72
2008-02-01,2008,Feb,Georgia,leisurehospitality,399.0,,12.22
2008-02-01,2008,Feb,Georgia,manufacturing,419.4,39.6,19.05
2008-02-01,2008,Feb,Georgia,retailtrade,481.5,,
2008-02-01,2008,Feb,Georgia,totalnonfarm,4177.3,,
2008-02-01,2008,Feb,Georgia,totalprivate,3470.9,35.1,20.44
2008-02-01,2008,Feb,Hawaii,leisurehospitality,112.5,,17.89
2008-02-01,2008,Feb,Hawaii,manufacturing,15.4,35.7,20.36
2008-02-01,2008,Feb,Hawaii,retailtrade,70.9,,
2008-02-01,2008,Feb,Hawaii,totalnonfarm,628.1,,
2008-02-01,2008,Feb,Hawaii,totalprivate,504.6,32.7,20.53
2008-02-01,2008,Feb,Idaho,leisurehospitality,64.3,,9.89
2008-02-01,2008,Feb,Idaho,manufacturing,65.3,36.5,22.06
2008-02-01,2008,Feb,Idaho,retailtrade,83.8,,
2008-02-01,2008,Feb,Idaho,totalnonfarm,654.1,,
2008-02-01,2008,Feb,Idaho,totalprivate,535.7,33.5,16.98
2008-02-01,2008,Feb,Illinois,leisurehospitality,534.2,,12.44
2008-02-01,2008,Feb,Illinois,manufacturing,669.4,39.9,21.44
2008-02-01,2008,Feb,Illinois,retailtrade,628.8,,
2008-02-01,2008,Feb,Illinois,totalnonfarm,5985.0,,
2008-02-01,2008,Feb,Illinois,totalprivate,5132.7,34.0,22.51
2008-02-01,2008,Feb,Indiana,leisurehospitality,284.4,,11.27
2008-02-01,2008,Feb,Indiana,manufacturing,541.3,40.7,23.01
2008-02-01,2008,Feb,Indiana,retailtrade,326.4,,
2008-02-01,2008,Feb,Indiana,totalnonfarm,2991.5,,
2008-02-01,2008,Feb,Indiana,totalprivate,2554.6,35.0,20.29
2008-02-01,2008,Feb,Iowa,leisurehospitality,136.5,,11.45
2008-02-01,2008,Feb,Iowa,manufacturing,231.2,40.2,17.9
2008-02-01,2008,Feb,Iowa,retailtrade,179.3,,
2008-02-01,2008,Feb,Iowa,totalnonfarm,1527.7,,
2008-02-01,2008,Feb,Iowa,totalprivate,1275.8,33.2,17.77
2008-02-01,2008,Feb,Kansas,leisurehospitality,116.0,,10.56
2008-02-01,2008,Feb,Kansas,manufacturing,188.4,42.0,22.65
2008-02-01,2008,Feb,Kansas,retailtrade,148.6,,
2008-02-01,2008,Feb,Kansas,totalnonfarm,1394.1,,
2008-02-01,2008,Feb,Kansas,totalprivate,1135.1,34.6,20.0
2008-02-01,2008,Feb,Kentucky,leisurehospitality,173.3,,10.14
2008-02-01,2008,Feb,Kentucky,manufacturing,253.1,39.2,19.2
2008-02-01,2008,Feb,Kentucky,retailtrade,213.3,,
2008-02-01,2008,Feb,Kentucky,totalnonfarm,1860.6,,
2008-02-01,2008,Feb,Kentucky,totalprivate,1548.3,36.1,17.91
2008-02-01,2008,Feb,Louisiana,leisurehospitality,196.2,,12.01
2008-02-01,2008,Feb,Louisiana,manufacturing,155.3,40.9,23.63
2008-02-01,2008,Feb,Louisiana,retailtrade,227.4,,
2008-02-01,2008,Feb,Louisiana,totalnonfarm,1939.5,,
2008-02-01,2008,Feb,Louisiana,totalprivate,1575.4,35.9,19.41
2008-02-01,2008,Feb,Maine,leisurehospitality,60.5,,12.24
2008-02-01,2008,Feb,Maine,manufacturing,59.7,40.6,21.51
2008-02-01,2008,Feb,Maine,retailtrade,86.6,,
2008-02-01,2008,Feb,Maine,totalnonfarm,620.9,,
2008-02-01,2008,Feb,Maine,totalprivate,516.7,34.5,18.86
2008-02-01,2008,Feb,Maryland,leisurehospitality,237.3,,16.99
2008-02-01,2008,Feb,Maryland,manufacturing,133.1,38.7,23.28
2008-02-01,2008,Feb,Maryland,retailtrade,298.8,,
2008-02-01,2008,Feb,Maryland,totalnonfarm,2635.3,,
2008-02-01,2008,Feb,Maryland,totalprivate,2148.6,34.7,24.65
2008-02-01,2008,Feb,Massachusetts,leisurehospitality,307.2,,15.53
2008-02-01,2008,Feb,Massachusetts,manufacturing,288.2,39.7,27.01
2008-02-01,2008,Feb,Massachusetts,retailtrade,350.6,,
2008-02-01,2008,Feb,Massachusetts,totalnonfarm,3328.9,,
2008-02-01,2008,Feb,Massachusetts,totalprivate,2892.5,33.4,26.32
2008-02-01,2008,Feb,Michigan,leisurehospitality,403.9,,11.53
2008-02-01,2008,Feb,Michigan,manufacturing,590.7,41.3,25.52
2008-02-01,2008,Feb,Michigan,retailtrade,488.4,,
2008-02-01,2008,Feb,Michigan,totalnonfarm,4235.6,,
2008-02-01,2008,Feb,Michigan,totalprivate,3586.9,34.3,21.89
2008-02-01,2008,Feb,Minnesota,leisurehospitality,248.2,,12.54
2008-02-01,2008,Feb,Minnesota,manufacturing,339.7,41.3,22.13
2008-02-01,2008,Feb,Minnesota,retailtrade,299.1,,
2008-02-01,2008,Feb,Minnesota,totalnonfarm,2776.9,,
2008-02-01,2008,Feb,Minnesota,totalprivate,2359.7,33.5,23.2
2008-02-01,2008,Feb,Mississippi,leisurehospitality,127.1,,11.34
2008-02-01,2008,Feb,Mississippi,manufacturing,165.3,39.6,16.74
2008-02-01,2008,Feb,Mississippi,retailtrade,141.9,,
2008-02-01,2008,Feb,Mississippi,totalnonfarm,1161.7,,
2008-02-01,2008,Feb,Mississippi,totalprivate,914.6,35.7,16.78
2008-02-01,2008,Feb,Missouri,leisurehospitality,282.2,,12.25
2008-02-01,2008,Feb,Missouri,manufacturing,300.5,39.0,22.3
2008-02-01,2008,Feb,Missouri,retailtrade,315.8,,
2008-02-01,2008,Feb,Missouri,totalnonfarm,2818.7,,
2008-02-01,2008,Feb,Missouri,totalprivate,2373.8,34.0,20.38
2008-02-01,2008,Feb,Montana,leisurehospitality,59.4,,11.68
2008-02-01,2008,Feb,Montana,manufacturing,20.3,,
2008-02-01,2008,Feb,Montana,retailtrade,59.6,,
2008-02-01,2008,Feb,Montana,totalnonfarm,447.6,,
2008-02-01,2008,Feb,Montana,totalprivate,360.1,31.7,18.28
2008-02-01,2008,Feb,Nebraska,leisurehospitality,82.7,,10.51
2008-02-01,2008,Feb,Nebraska,manufacturing,102.7,39.6,18.31
2008-02-01,2008,Feb,Nebraska,retailtrade,108.1,,
2008-02-01,2008,Feb,Nebraska,totalnonfarm,970.9,,
2008-02-01,2008,Feb,Nebraska,totalprivate,808.4,33.1,20.11
