Date,State,Sector,employment,employment-population ratio,labor force,labor force participation rate,unemployment,unemployment rate
2008-02-01,NorthCarolina,aggregate,4368042.0,61.9,4593052.0,65.1,225010.0,4.9
2008-02-01,NorthDakota,aggregate,366744.0,72.0,377481.0,74.2,10737.0,2.8
2008-02-01,Ohio,aggregate,5664576.0,63.6,6005566.0,67.4,340990.0,5.7
2008-02-01,Oklahoma,aggregate,1688464.0,61.1,1745877.0,63.2,57413.0,3.3
2008-02-01,Oregon,aggregate,1827604.0,62.0,1924785.0,65.3,97181.0,5.0
2008-02-01,Pennsylvania,aggregate,6132676.0,61.8,6443704.0,64.9,311028.0,4.8
2008-02-01,RhodeIsland,aggregate,532474.0,63.8,567912.0,68.0,35438.0,6.2
2008-02-01,SouthCarolina,aggregate,2036469.0,59.0,2158227.0,62.6,121758.0,5.6
2008-02-01,SouthDakota,aggregate,421927.0,69.9,433194.0,71.8,11267.0,2.6
2008-02-01,Tennessee,aggregate,2891974.0,60.1,3055186.0,63.5,163212.0,5.3
2008-02-01,Texas,aggregate,11166311.0,62.9,11668658.0,65.7,502347.0,4.3
2008-02-01,Utah,aggregate,1318741.0,70.1,1357719.0,72.1,38978.0,2.9
2008-02-01,Vermont,aggregate,336962.0,67.2,350873.0,70.0,13911.0,4.0
2008-02-01,Virginia,aggregate,3994743.0,66.9,4136929.0,69.3,142186.0,3.4
2008-02-01,Washington,aggregate,3278333.0,64.8,3434662.0,67.9,156329.0,4.6
2008-02-01,WestVirginia,aggregate,775818.0,52.9,810767.0,55.3,34949.0,4.3
2008-02-01,Wisconsin,aggregate,2950296.0,67.5,3081973.0,70.5,131677.0,4.3
2008-02-01,Wyoming,aggregate,291444.0,69.9,299406.0,71.8,7962.0,2.7
2008-03-01,Alabama,aggregate,2094860.0,57.8,2203660.0,60.8,108800.0,4.9
2008-03-01,Alaska,aggregate,331832.0,66.4,353989.0,70.8,22157.0,6.3
2008-03-01,Arizona,aggregate,2854422.0,60.7,2990363.0,63.5,135941.0,4.5
2008-03-01,Arkansas,aggregate,1292029.0,59.0,1359048.0,62.0,67019.0,4.9
2008-03-01,California,aggregate,17133940.0,61.7,18256772.0,65.8,1122832.0,6.2
2008-03-01,Colorado,aggregate,2589091.0,69.7,2703730.0,72.7,114639.0,4.2
2008-03-01,Connecticut,aggregate,1798502.0,65.3,1893231.0,68.8,94729.0,5.0
2008-03-01,DC,aggregate,316857.0,65.7,336406.0,69.7,19549.0,5.8
2008-03-01,Delaware,aggregate,436727.0,64.0,454333.0,66.6,17606.0,3.9
2008-03-01,Florida,aggregate,8831494.0,60.3,9319308.0,63.7,487814.0,5.2
2008-03-01,Georgia,aggregate,4580363.0,64.7,4842732.0,68.4,262369.0,5.4
2008-03-01,Hawaii,aggregate,642885.0,63.4,664685.0,65.5,21800.0,3.3
2008-03-01,Idaho,aggregate,728768.0,64.5,751988.0,66.5,23220.0,3.1
2008-03-01,Illinois,aggregate,6287020.0,64.4,6671480.0,68.4,384460.0,5.8
2008-03-01,Indiana,aggregate,3082296.0,63.1,3241022.0,66.3,158726.0,4.9
2008-03-01,Iowa,aggregate,1618977.0,69.6,1680582.0,72.3,61605.0,3.7
2008-03-01,Jersey,new,4289802.0,63.5,4503053.0,66.6,213251.0,4.7
2008-03-01,Kansas,aggregate,1424469.0,67.5,1486087.0,70.4,61618.0,4.1
2008-03-01,Kentucky,aggregate,1913645.0,58.1,2024996.0,61.5,111351.0,5.5
2008-03-01,Louisiana,aggregate,1978029.0,59.0,2062856.0,61.5,84827.0,4.1
2008-03-01,Maine,aggregate,672571.0,63.0,705676.0,66.1,33105.0,4.7
2008-03-01,Maryland,aggregate,2936463.0,66.9,3041696.0,69.3,105233.0,3.5
2008-03-01,Massachusetts,aggregate,3267430.0,63.7,3425331.0,66.8,157901.0,4.6
2008-03-01,Michigan,aggregate,4560488.0,59.0,4917811.0,63.7,357323.0,7.3
2008-03-01,Minnesota,aggregate,2759706.0,68.3,2899027.0,71.7,139321.0,4.8
2008-03-01,Mississippi,aggregate,1229515.0,55.9,1310431.0,59.6,80916.0,6.2
2008-03-01,Missouri,aggregate,2888308.0,63.5,3054396.0,67.1,166088.0,5.4
2008-03-01,Montana,aggregate,493102.0,64.7,513553.0,67.4,20451.0,4.0
2008-03-01,Nebraska,aggregate,965228.0,70.9,994617.0,73.1,29389.0,3.0
2008-03-01,Nevada,aggregate,1321117.0,65.6,1402907.0,69.7,81790.0,5.8
2008-03-01,NewHampshire,aggregate,712494.0,68.4,737764.0,70.8,25270.0,3.4
2008-03-01,NewMexico,aggregate,905453.0,59.6,941349.0,61.9,35896.0,3.8
2008-03-01,NewYork,aggregate,9099747.0,59.9,9557699.0,62.9,457952.0,4.8
2008-03-01,NorthCarolina,aggregate,4366882.0,61.8,4594275.0,65.0,227393.0,4.9
2008-03-01,NorthDakota,aggregate,367262.0,72.1,377983.0,74.2,10721.0,2.8
2008-03-01,Ohio,aggregate,5657094.0,63.5,6002640.0,67.4,345546.0,5.8
2008-03-01,Oklahoma,aggregate,1692044.0,61.2,1748372.0,63.2,56328.0,3.2
2008-03-01,Oregon,aggregate,1828656.0,62.0,1926099.0,65.3,97443.0,5.1
2008-03-01,Pennsylvania,aggregate,6138291.0,61.8,6451926.0,64.9,313635.0,4.9
2008-03-01,RhodeIsland,aggregate,530670.0,63.6,567272.0,68.0,36602.0,6.5
2008-03-01,SouthCarolina,aggregate,2036266.0,58.9,2160833.0,62.5,124567.0,5.8
2008-03-01,SouthDakota,aggregate,421973.0,69.9,433293.0,71.8,11320.0,2.6
2008-03-01,Tennessee,aggregate,2888506.0,60.0,3056481.0,63.5,167975.0,5.5
2008-03-01,Texas,aggregate,11185523.0,62.9,11690693.0,65.8,505170.0,4.3
2008-03-01,Utah,aggregate,1317920.0,69.9,1357492.0,72.0,39572.0,2.9
2008-03-01,Vermont,aggregate,336908.0,67.2,350950.0,70.0,14042.0,4.0
2008-03-01,Virginia,aggregate,4000766.0,67.0,4146169.0,69.4,145403.0,3.5
2008-03-01,Washington,aggregate,3279933.0,64.8,3437987.0,67.9,158054.0,4.6
2008-03-01,WestVirginia,aggregate,776073.0,52.9,810523.0,55.3,34450.0,4.3
2008-03-01,Wisconsin,aggregate,2952008.0,67.5,3081391.0,70.4,129383.0,4.2
2008-03-01,Wyoming,aggregate,291836.0,69.9,299780.0,71.8,7944.0,2.6
2008-04-01,Alabama,aggregate,2089789.0,57.6,2203488.0,60.7,113699.0,5.2
2008-04-01,Alaska,aggregate,332340.0,66.4,354792.0,70.9,22452.0,6.3
2008-04-01,Arizona,aggregate,2853811.0,60.5,2997381.0,63.6,143570.0,4.8
2008-04-01,Arkansas,aggregate,1292881.0,59.0,1360042.0,62.0,67161.0,4.9
2008-04-01,California,aggregate,17119514.0,61.6,18286382.0,65.8,1166868.0,6.4
2008-04-01,Colorado,aggregate,2587215.0,69.5,2704519.0,72.7,117304.0,4.3
2008-04-01,Connecticut,aggregate,1797600.0,65.3,1894961.0,68.8,97361.0,5.1
2008-04-01,DC,aggregate,317293.0,65.7,337333.0,69.8,20040.0,5.9
2008-04-01,Delaware,aggregate,436263.0,63.8,454640.0,66.5,18377.0,4.0
2008-04-01,Florida,aggregate,8807851.0,60.1,9318886.0,63.6,511035.0,5.5
2008-04-01,Georgia,aggregate,4583856.0,64.6,4856099.0,68.5,272243.0,5.6
2008-04-01,Hawaii,aggregate,642890.0,63.3,665671.0,65.6,22781.0,3.4
2008-04-01,Idaho,aggregate,727653.0,64.3,757997.0,66.9,30344.0,4.0
2008-04-01,Illinois,aggregate,6267493.0,64.2,6663767.0,68.3,396274.0,5.9
2008-04-01,Indiana,aggregate,3081727.0,63.0,3246831.0,66.4,165104.0,5.1
2008-04-01,Iowa,aggregate,1619570.0,69.6,1682820.0,72.3,63250.0,3.8
2008-04-01,Jersey,new,4288240.0,63.4,4506948.0,66.6,218708.0,4.9
2008-04-01,Kansas,aggregate,1425079.0,67.5,1487046.0,70.4,61967.0,4.2
2008-04-01,Kentucky,aggregate,1912357.0,58.0,2027524.0,61.5,115167.0,5.7
2008-04-01,Louisiana,aggregate,1980025.0,58.9,2065847.0,61.5,85822.0,4.2
2008-04-01,Maine,aggregate,672485.0,63.0,706328.0,66.1,33843.0,4.8
2008-04-01,Maryland,aggregate,2936613.0,66.8,3047613.0,69.4,111000.0,3.6
2008-04-01,Massachusetts,aggregate,3267042.0,63.6,3429544.0,66.8,162502.0,4.7
2008-04-01,Michigan,aggregate,4545733.0,58.8,4910907.0,63.6,365174.0,7.4
2008-04-01,Minnesota,aggregate,2758681.0,68.2,2902483.0,71.8,143802.0,5.0
2008-04-01,Mississippi,aggregate,1226262.0,55.7,1308900.0,59.5,82638.0,6.3
2008-04-01,Missouri,aggregate,2885123.0,63.3,3054940.0,67.1,169817.0,5.6
2008-04-01,Montana,aggregate,492617.0,64.6,513772.0,67.4,21155.0,4.1
2008-04-01,Nebraska,aggregate,965471.0,70.9,995416.0,73.1,29945.0,3.0
2008-04-01,Nevada,aggregate,1319844.0,65.4,1404985.0,69.6,85141.0,6.1
2008-04-01,NewHampshire,aggregate,712768.0,68.4,738416.0,70.9,25648.0,3.5
2008-04-01,NewMexico,aggregate,905617.0,59.5,942728.0,62.0,37111.0,3.9
2008-04-01,NewYork,aggregate,9101605.0,59.9,9567651.0,63.0,466046.0,4.9
2008-04-01,NorthCarolina,aggregate,4364614.0,61.7,4597422.0,65.0,232808.0,5.1
2008-04-01,NorthDakota,aggregate,367637.0,72.1,378531.0,74.3,10894.0,2.9
2008-04-01,Ohio,aggregate,5645931.0,63.3,6001222.0,67.3,355291.0,5.9
2008-04-01,Oklahoma,aggregate,1695060.0,61.2,1751558.0,63.3,56498.0,3.2
2008-04-01,Oregon,aggregate,1829241.0,61.9,1929121.0,65.3,99880.0,5.2
2008-04-01,Pennsylvania,aggregate,6143151.0,61.8,6461703.0,65.0,318552.0,4.9
2008-04-01,RhodeIsland,aggregate,528865.0,63.4,566965.0,67.9,38100.0,6.7
2008-04-01,SouthCarolina,aggregate,2035465.0,58.8,2164661.0,62.5,129196.0,6.0
2008-04-01,SouthDakota,aggregate,421966.0,69.8,433590.0,71.8,11624.0,2.7
2008-04-01,Tennessee,aggregate,2883821.0,59.8,3058536.0,63.5,174715.0,5.7
2008-04-01,Texas,aggregate,11202343.0,62.9,11716018.0,65.8,513675.0,4.4
2008-04-01,Utah,aggregate,1316691.0,69.7,1357068.0,71.9,40377.0,3.0
2008-04-01,Vermont,aggregate,336807.0,67.1,351113.0,70.0,14306.0,4.1
2008-04-01,Virginia,aggregate,4005740.0,67.0,4155812.0,69.5,150072.0,3.6
2008-04-01,Washington,aggregate,3280753.0,64.7,3442672.0,67.9,161919.0,4.7
2008-04-01,WestVirginia,aggregate,776176.0,52.9,810338.0,55.2,34162.0,4.2
2008-04-01,Wisconsin,aggregate,2951576.0,67.4,3081617.0,70.4,130041.0,4.2
2008-04-01,Wyoming,aggregate,292149.0,69.9,300177.0,71.8,8028.0,2.7
2008-05-01,Alabama,aggregate,2083888.0,57.4,2203160.0,60.7,119272.0,5.4
2008-05-01,Alaska,aggregate,332771.0,66.5,355583.0,71.0,22812.0,6.4
2008-05-01,Arizona,aggregate,2852830.0,60.4,3006401.0,63.7,153571.0,5.1
2008-05-01,Arkansas,aggregate,1293500.0,58.9,1361611.0,62.0,68111.0,5.0
2008-05-01,California,aggregate,17101196.0,61.5,18322091.0,65.9,1220895.0,6.7
2008-05-01,Colorado,aggregate,2584752.0,69.3,2705732.0,72.6,120980.0,4.5
2008-05-01,Connecticut,aggregate,1796158.0,65.2,1896834.0,68.8,100676.0,5.3
2008-05-01,DC,aggregate,317883.0,65.8,338524.0,70.0,20641.0,6.1
2008-05-01,Delaware,aggregate,435442.0,63.6,454878.0,66.4,19436.0,4.3
2008-05-01,Florida,aggregate,8782692.0,59.9,9322275.0,63.6,539583.0,5.8
2008-05-01,Georgia,aggregate,4586890.0,64.6,4870285.0,68.6,283395.0,5.8
2008-05-01,Hawaii,aggregate,642268.0,63.2,666395.0,65.6,24127.0,3.6
2008-05-01,Idaho,aggregate,726437.0,64.1,761827.0,67.2,35390.0,4.6
2008-05-01,Illinois,aggregate,6242012.0,63.9,6652775.0,68.1,410763.0,6.2
2008-05-01,Indiana,aggregate,3080737.0,62.9,3254020.0,66.5,173283.0,5.3
2008-05-01,Iowa,aggregate,1620497.0,69.6,1685952.0,72.4,65455.0,3.9
2008-05-01,Jersey,new,4286162.0,63.3,4511859.0,66.7,225697.0,5.0
2008-05-01,Kansas,aggregate,1425361.0,67.5,1488427.0,70.4,63066.0,4.2
2008-05-01,Kentucky,aggregate,1910908.0,57.9,2031204.0,61.6,120296.0,5.9
2008-05-01,Louisiana,aggregate,1982488.0,58.9,2070326.0,61.5,87838.0,4.2
2008-05-01,Maine,aggregate,672101.0,62.9,707040.0,66.2,34939.0,4.9
2008-05-01,Maryland,aggregate,2935537.0,66.8,3053486.0,69.4,117949.0,3.9
2008-05-01,Massachusetts,aggregate,3266748.0,63.6,3435202.0,66.9,168454.0,4.9
2008-05-01,Michigan,aggregate,4529691.0,58.6,4905301.0,63.5,375610.0,7.7
2008-05-01,Minnesota,aggregate,2758012.0,68.2,2907387.0,71.9,149375.0,5.1
2008-05-01,Mississippi,aggregate,1222691.0,55.5,1307484.0,59.4,84793.0,6.5
2008-05-01,Missouri,aggregate,2881056.0,63.2,3055963.0,67.0,174907.0,5.7
2008-05-01,Montana,aggregate,492049.0,64.4,514104.0,67.3,22055.0,4.3
2008-05-01,Nebraska,aggregate,965378.0,70.8,996086.0,73.1,30708.0,3.1
2008-05-01,Nevada,aggregate,1317905.0,65.2,1406923.0,69.6,89018.0,6.3
2008-05-01,NewHampshire,aggregate,712924.0,68.4,739108.0,70.9,26184.0,3.5
2008-05-01,NewMexico,aggregate,905769.0,59.5,944232.0,62.0,38463.0,4.1
2008-05-01,NewYork,aggregate,9103897.0,59.9,9581825.0,63.0,477928.0,5.0
2008-05-01,NorthCarolina,aggregate,4361971.0,61.5,4602578.0,64.9,240607.0,5.2
2008-05-01,NorthDakota,aggregate,367858.0,72.1,379063.0,74.3,11205.0,3.0
2008-05-01,Ohio,aggregate,5632907.0,63.2,6001667.0,67.3,368760.0,6.1
2008-05-01,Oklahoma,aggregate,1697791.0,61.3,1755500.0,63.4,57709.0,3.3
2008-05-01,Oregon,aggregate,1830065.0,61.9,1934587.0,65.4,104522.0,5.4
2008-05-01,Pennsylvania,aggregate,6147925.0,61.8,6473095.0,65.1,325170.0,5.0
2008-05-01,RhodeIsland,aggregate,527016.0,63.1,566961.0,67.9,39945.0,7.0
2008-05-01,SouthCarolina,aggregate,2033902.0,58.7,2169370.0,62.6,135468.0,6.2
2008-05-01,SouthDakota,aggregate,421890.0,69.8,434007.0,71.8,12117.0,2.8
2008-05-01,Tennessee,aggregate,2878877.0,59.7,3061800.0,63.5,182923.0,6.0
2008-05-01,Texas,aggregate,11216508.0,62.9,11745123.0,65.8,528615.0,4.5
2008-05-01,Utah,aggregate,1315119.0,69.5,1356481.0,71.7,41362.0,3.0
2008-05-01,Vermont,aggregate,336759.0,67.1,351431.0,70.0,14672.0,4.2
2008-05-01,Virginia,aggregate,4009605.0,67.0,4165472.0,69.6,155867.0,3.7
2008-05-01,Washington,aggregate,3281111.0,64.6,3448340.0,67.9,167229.0,4.8
2008-05-01,WestVirginia,aggregate,776134.0,52.9,810253.0,55.2,34119.0,4.2
2008-05-01,Wisconsin,aggregate,2949555.0,67.4,3083086.0,70.4,133531.0,4.3
2008-05-01,Wyoming,aggregate,292427.0,69.8,300658.0,71.8,8231.0,2.7
2008-06-01,Alabama,aggregate,2077449.0,57.2,2202843.0,60.6,125394.0,5.7
2008-06-01,Alaska,aggregate,333040.0,66.5,356215.0,71.1,23175.0,6.5
2008-06-01,Arizona,aggregate,2851806.0,60.3,3016981.0,63.8,165175.0,5.5
2008-06-01,Arkansas,aggregate,1293962.0,58.9,1363735.0,62.1,69773.0,5.1
2008-06-01,California,aggregate,17080941.0,61.4,18361722.0,66.0,1280781.0,7.0
2008-06-01,Colorado,aggregate,2581902.0,69.1,2707442.0,72.5,125540.0,4.6
2008-06-01,Connecticut,aggregate,1794623.0,65.0,1898927.0,68.8,104304.0,5.5
2008-06-01,DC,aggregate,318393.0,65.8,339712.0,70.2,21319.0,6.3
2008-06-01,Delaware,aggregate,434385.0,63.4,455100.0,66.4,20715.0,4.6
2008-06-01,Florida,aggregate,8756989.0,59.7,9325771.0,63.5,568782.0,6.1
2008-06-01,Georgia,aggregate,4589379.0,64.5,4884976.0,68.7,295597.0,6.1
2008-06-01,Hawaii,aggregate,641104.0,63.0,666825.0,65.6,25721.0,3.9
2008-06-01,Idaho,aggregate,725202.0,63.8,763722.0,67.2,38520.0,5.0
2008-06-01,Illinois,aggregate,6213325.0,63.6,6638916.0,67.9,425591.0,6.4
2008-06-01,Indiana,aggregate,3079614.0,62.9,3261610.0,66.6,181996.0,5.6
2008-06-01,Iowa,aggregate,1621892.0,69.6,1689616.0,72.5,67724.0,4.0
2008-06-01,Jersey,new,4284383.0,63.3,4518416.0,66.7,234033.0,5.2
2008-06-01,Kansas,aggregate,1425361.0,67.4,1490171.0,70.5,64810.0,4.3
2008-06-01,Kentucky,aggregate,1909274.0,57.8,2035305.0,61.7,126031.0,6.2
2008-06-01,Louisiana,aggregate,1984955.0,58.9,2076178.0,61.6,91223.0,4.4
2008-06-01,Maine,aggregate,671357.0,62.8,707578.0,66.2,36221.0,5.1
2008-06-01,Maryland,aggregate,2933444.0,66.7,3058931.0,69.5,125487.0,4.1
2008-06-01,Massachusetts,aggregate,3266855.0,63.5,3442142.0,66.9,175287.0,5.1
2008-06-01,Michigan,aggregate,4513209.0,58.4,4900647.0,63.5,387438.0,7.9
2008-06-01,Minnesota,aggregate,2758470.0,68.1,2913645.0,71.9,155175.0,5.3
2008-06-01,Mississippi,aggregate,1218665.0,55.3,1305658.0,59.3,86993.0,6.7
2008-06-01,Missouri,aggregate,2876363.0,63.1,3057078.0,67.0,180715.0,5.9
2008-06-01,Montana,aggregate,491534.0,64.3,514604.0,67.3,23070.0,4.5
2008-06-01,Nebraska,aggregate,965148.0,70.8,996637.0,73.1,31489.0,3.2
2008-06-01,Nevada,aggregate,1315420.0,65.0,1408677.0,69.6,93257.0,6.6
2008-06-01,NewHampshire,aggregate,712923.0,68.3,739762.0,70.9,26839.0,3.6
2008-06-01,NewMexico,aggregate,906053.0,59.4,945961.0,62.1,39908.0,4.2
2008-06-01,NewYork,aggregate,9107727.0,59.9,9600765.0,63.1,493038.0,5.1
2008-06-01,NorthCarolina,aggregate,4360861.0,61.4,4610194.0,64.9,249333.0,5.4
2008-06-01,NorthDakota,aggregate,367978.0,72.1,379549.0,74.3,11571.0,3.0
2008-06-01,Ohio,aggregate,5619489.0,63.0,6003040.0,67.3,383551.0,6.4
2008-06-01,Oklahoma,aggregate,1700470.0,61.3,1760039.0,63.5,59569.0,3.4
2008-06-01,Oregon,aggregate,1831196.0,61.8,1942263.0,65.6,111067.0,5.7
2008-06-01,Pennsylvania,aggregate,6152512.0,61.8,6485571.0,65.2,333059.0,5.1
2008-06-01,RhodeIsland,aggregate,525141.0,62.9,567139.0,67.9,41998.0,7.4
2008-06-01,SouthCarolina,aggregate,2031756.0,58.5,2174604.0,62.6,142848.0,6.6
2008-06-01,SouthDakota,aggregate,421789.0,69.7,434512.0,71.8,12723.0,2.9
2008-06-01,Tennessee,aggregate,2874490.0,59.5,3066221.0,63.5,191731.0,6.3
2008-06-01,Texas,aggregate,11228493.0,62.8,11777932.0,65.9,549439.0,4.7
2008-06-01,Utah,aggregate,1313335.0,69.3,1355795.0,71.6,42460.0,3.1
2008-06-01,Vermont,aggregate,336700.0,67.1,351793.0,70.1,15093.0,4.3
2008-06-01,Virginia,aggregate,4012490.0,67.0,4174695.0,69.7,162205.0,3.9
2008-06-01,Washington,aggregate,3281414.0,64.6,3454469.0,68.0,173055.0,5.0
